Block   Selection_sort  Insertion_sort
266     1.390000        0.735000
267     1.406000        0.740000
268     1.422000        0.734000
269     1.437000        0.781000
270     1.437000        0.750000
271     1.453000        0.750000
272     1.453000        0.765000
273     1.469000        0.765000
274     1.484000        0.766000
275     1.484000        0.796000
276     1.500000        0.781000
277     1.515000        0.797000
278     1.518000        0.796000
279     1.530000        0.797000
280     1.546000        0.813000
281     1.563000        0.812000
282     1.562000        0.859000
283     1.578000        0.828000
284     1.594000        0.828000
285     1.609000        0.828000
286     1.609000        0.843000
287     1.624000        0.844000
288     1.672000        0.844000
289     1.859000        0.906000
290     1.656000        0.875000
291     1.671000        0.875000
292     1.687000        0.874000
293     1.694000        0.891000
294     1.703000        0.921000
295     1.719000        0.890000
296     1.734000        0.906000
297     1.734000        0.922000
298     1.750000        0.921000
299     1.765000        0.922000
300     1.766000        0.937000
301     1.781000        0.953000
302     1.796000        0.938000
303     1.812000        0.953000
304     1.829000        0.953000
305     1.828000        0.999000
306     1.843000        0.969000
307     1.851000        0.968000
308     1.874000        0.969000
309     1.875000        0.984000
310     1.890000        1.000000
311     1.906000        1.031000
312     1.921000        1.000000
313     1.937000        1.015000
314     1.937000        1.018000
315     1.952000        1.031000
316     1.969000        1.031000
317     1.984000        1.047000
318     2.000000        1.031000
319     1.999000        1.062000
320     2.031000        1.046000
321     2.015000        1.078000
322     2.047000        1.078000
323     2.063000        1.077000
324     2.047000        1.093000
325     2.078000        1.094000
326     2.077000        1.110000
327     2.093000        1.109000
328     2.109000        1.109000
329     2.109000        1.125000
330     2.141000        1.124000
331     2.171000        1.140000
332     2.155000        1.180000
333     2.171000        1.141000
334     2.203000        1.156000
335     2.219000        1.156000
336     2.218000        1.156000
337     2.218000        1.187000
338     2.234000        1.187000
339     2.250000        1.187000
340     2.265000        1.187000
341     2.297000        1.202000
342     2.296000        1.250000
343     2.374000        1.219000
344     2.328000        1.218000
345     2.327000        1.235000
346     2.344000        1.234000
347     2.359000        1.250000
348     2.390000        1.266000
349     2.390000        1.281000
350     2.405000        1.266000
351     2.421000        1.265000
352     2.421000        1.296000
353     2.437000        1.297000
354     2.468000        1.297000
355     2.468000        1.312000
356     2.484000        1.312000
357     2.500000        1.312000
358     2.515000        1.327000
359     2.531000        1.327000
360     2.530000        1.344000
361     2.547000        1.373000
362     2.561000        1.391000
363     2.593000        1.406000
364     2.593000        1.375000
365     2.624000        1.375000
366     2.625000        1.390000
367     2.640000        1.390000
368     2.656000        1.406000
369     2.671000        1.406000
370     2.709000        1.437000
371     2.712000        1.421000
372     2.718000        1.421000
373     2.734000        1.437000
374     2.749000        1.438000
375     2.749000        1.453000
376     2.765000        1.469000
377     2.796000        1.484000
378     2.828000        1.468000
379     2.812000        1.541000
380     2.827000        1.484000
381     2.843000        1.500000
382     2.858000        1.500000
383     2.875000        1.515000
384     2.890000        1.516000
385     2.905000        1.531000
386     2.922000        1.530000
387     2.936000        1.547000
388     2.952000        1.547000
389     2.968000        1.547000
390     2.984000        1.562000
391     2.999000        1.625000
392     3.015000        1.594000
393     3.062000        1.593000
394     3.046000        1.609000
395     3.062000        1.609000
396     3.077000        1.625000
397     3.093000        1.624000
398     3.108000        1.625000
399     3.125000        1.640000
400     3.155000        1.656000
401     3.156000        1.656000
402     3.172000        1.655000
403     3.187000        1.671000
404     3.233000        1.672000
405     3.221000        1.719000
406     3.234000        1.687000
407     3.250000        1.718000
408     3.265000        1.718000
409     3.281000        1.741000
410     3.296000        1.734000
411     3.311000        1.734000
412     3.327000        1.750000
413     3.343000        1.766000
414     3.359000        1.765000
415     3.374000        1.781000
416     3.421000        1.781000
417     3.436000        1.781000
418     3.437000        1.796000
419     3.437000        1.812000
420     3.453000        1.812000
421     3.484000        1.812000
422     3.499000        1.828000
423     3.499000        1.843000
424     3.531000        1.843000
425     3.546000        2.125000
426     3.561000        1.875000
427     3.609000        1.875000
428     3.609000        1.890000
429     3.608000        1.906000
430     3.625000        1.905000
431     3.640000        1.905000
432     3.666000        1.937000
433     3.686000        1.922000
434     3.687000        1.937000
435     3.718000        1.937000
436     3.733000        1.953000
437     3.765000        1.968000
438     3.796000        1.968000
439     3.811000        1.984000
440     3.796000        2.000000
441     3.812000        2.015000
442     3.827000        2.015000
443     3.842000        2.031000
444     3.859000        2.046000
445     3.890000        2.047000
446     3.907000        2.047000
447     3.921000        2.046000
448     3.968000        2.062000
449     3.968000        2.093000
450     3.967000        2.094000
451     3.986000        2.093000
452     4.015000        2.109000
453     4.030000        2.125000
454     4.046000        2.140000
455     4.061000        2.140000
456     4.078000        2.155000
457     4.093000        2.155000
458     4.124000        2.203000
459     4.139000        2.172000
460     4.155000        2.172000
461     4.171000        2.187000
462     4.187000        2.218000
463     4.202000        2.218000
464     4.218000        2.218000
465     4.233000        2.234000
466     4.264000        2.234000
467     4.312000        2.249000
468     4.312000        2.265000
469     4.311000        2.265000
470     4.343000        2.280000
471     4.390000        2.281000
472     4.374000        2.296000
473     4.390000        2.312000
474     4.405000        2.328000
475     4.435000        2.359000
476     4.467000        2.344000
477     4.483000        2.343000
478     4.484000        2.359000
479     4.499000        2.374000
480     4.530000        2.374000
481     4.546000        2.390000
482     4.561000        2.421000
483     4.592000        2.406000
484     4.593000        2.531000
485     4.608000        2.469000
486     4.639000        2.437000
487     4.655000        2.453000
488     4.671000        2.468000
489     4.702000        2.468000
490     4.718000        2.484000
491     4.749000        2.500000
492     4.749000        2.515000
493     4.796000        2.499000
494     4.823000        2.531000
495     4.812000        2.515000
496     4.827000        2.531000
497     4.842000        2.547000
498     4.859000        2.562000
499     4.890000        2.561000
500     4.921000        2.577000
