Block   Quick_sort      Merge_sort
266     0.005000        0.008000
267     0.005000        0.008000
268     0.005000        0.009000
269     0.006000        0.007000
270     0.006000        0.007000
271     0.006000        0.007000
272     0.007000        0.007000
273     0.005000        0.008000
274     0.006000        0.007000
275     0.006000        0.007000
276     0.007000        0.007000
277     0.007000        0.007000
278     0.007000        0.007000
279     0.007000        0.007000
280     0.006000        0.007000
281     0.006000        0.007000
282     0.006000        0.007000
283     0.007000        0.008000
284     0.008000        0.007000
285     0.006000        0.008000
286     0.006000        0.009000
287     0.005000        0.008000
288     0.006000        0.008000
289     0.006000        0.008000
290     0.006000        0.009000
291     0.006000        0.009000
292     0.006000        0.009000
293     0.006000        0.010000
294     0.006000        0.009000
295     0.008000        0.008000
296     0.006000        0.010000
297     0.006000        0.009000
298     0.008000        0.008000
299     0.007000        0.009000
300     0.011000        0.012000
301     0.012000        0.011000
302     0.008000        0.011000
303     0.010000        0.009000
304     0.006000        0.010000
305     0.009000        0.008000
306     0.007000        0.008000
307     0.007000        0.011000
308     0.007000        0.008000
309     0.006000        0.009000
310     0.009000        0.026000
311     0.007000        0.009000
312     0.007000        0.009000
313     0.007000        0.010000
314     0.008000        0.008000
315     0.007000        0.008000
316     0.007000        0.011000
317     0.007000        0.014000
318     0.008000        0.012000
319     0.008000        0.011000
320     0.007000        0.012000
321     0.009000        0.012000
322     0.007000        0.010000
323     0.008000        0.037000
324     0.007000        0.011000
325     0.011000        0.012000
326     0.007000        0.011000
327     0.007000        0.010000
328     0.007000        0.009000
329     0.007000        0.009000
330     0.008000        0.009000
331     0.006000        0.000000
332     0.006000        0.009000
333     0.003000        0.000000
334     0.007000        0.009000
335     0.007000        0.010000
336     0.006000        0.011000
337     0.007000        0.010000
338     0.007000        0.009000
339     0.007000        0.004000
340     0.007000        0.009000
341     0.008000        0.010000
342     0.001000        0.000000
343     0.007000        0.009000
344     0.007000        0.005000
345     0.007000        0.012000
346     0.009000        0.011000
347     0.007000        0.012000
348     0.007000        0.010000
349     0.007000        0.009000
350     0.007000        0.009000
351     0.006000        0.000000
352     0.003000        0.015000
353     0.008000        0.009000
354     0.007000        0.000000
355     0.007000        0.009000
356     0.008000        0.010000
357     0.008000        0.009000
358     0.008000        0.012000
359     0.007000        0.010000
360     0.004000        0.000000
361     0.007000        0.008000
362     0.007000        0.010000
363     0.007000        0.010000
364     0.006000        0.011000
365     0.008000        0.010000
366     0.008000        0.010000
367     0.008000        0.010000
368     0.007000        0.011000
369     0.008000        0.010000
370     0.007000        0.010000
371     0.008000        0.010000
372     0.007000        0.011000
373     0.008000        0.010000
374     0.008000        0.010000
375     0.008000        0.010000
376     0.007000        0.006000
377     0.008000        0.010000
378     0.008000        0.003000
379     0.007000        0.011000
380     0.008000        0.010000
381     0.008000        0.012000
382     0.008000        0.010000
383     0.002000        0.015000
384     0.008000        0.011000
385     0.008000        0.011000
386     0.011000        0.013000
387     0.008000        0.011000
388     0.008000        0.011000
389     0.009000        0.010000
390     0.003000        0.015000
391     0.007000        0.004000
392     0.009000        0.011000
393     0.008000        0.011000
394     0.007000        0.008000
395     0.009000        0.010000
396     0.000000        0.023000
397     0.009000        0.013000
398     0.009000        0.011000
399     0.009000        0.008000
400     0.008000        0.011000
401     0.008000        0.006000
402     0.009000        0.011000
403     0.008000        0.011000
404     0.002000        0.016000
405     0.010000        0.013000
406     0.011000        0.013000
407     0.008000        0.007000
408     0.008000        0.011000
409     0.008000        0.002000
410     0.008000        0.008000
411     0.008000        0.011000
412     0.009000        0.005000
413     0.009000        0.015000
414     0.010000        0.014000
415     0.008000        0.011000
416     0.002000        0.019000
417     0.008000        0.012000
418     0.008000        0.012000
419     0.000000        0.021000
420     0.009000        0.012000
421     0.008000        0.011000
422     0.000000        0.016000
423     0.004000        0.016000
424     0.008000        0.001000
425     0.009000        0.005000
426     0.009000        0.010000
427     0.009000        0.011000
428     0.008000        0.011000
429     0.009000        0.004000
430     0.009000        0.012000
431     0.005000        0.016000
432     0.009000        0.000000
433     0.012000        0.016000
434     0.009000        0.015000
435     0.009000        0.010000
436     0.009000        0.012000
437     0.009000        0.012000
438     0.000000        0.016000
439     0.000000        0.022000
440     0.011000        0.014000
441     0.009000        0.013000
442     0.010000        0.013000
443     0.009000        0.018000
444     0.009000        0.003000
445     0.002000        0.015000
446     0.004000        0.015000
447     0.000000        0.015000
448     0.000000        0.015000
449     0.000000        0.026000
450     0.009000        0.013000
451     0.000000        0.015000
452     0.000000        0.015000
453     0.001000        0.015000
454     0.004000        0.015000
455     0.006000        0.015000
456     0.007000        0.000000
457     0.009000        0.000000
458     0.009000        0.002000
459     0.010000        0.003000
460     0.009000        0.014000
461     0.009000        0.002000
462     0.009000        0.003000
463     0.010000        0.003000
464     0.010000        0.003000
465     0.009000        0.002000
466     0.000000        0.015000
467     0.000000        0.015000
468     0.012000        0.016000
469     0.018000        0.049000
470     0.015000        0.016000
471     0.010000        0.011000
472     0.010000        0.010000
473     0.011000        0.009000
474     0.010000        0.009000
475     0.010000        0.008000
476     0.011000        0.013000
477     0.000000        0.016000
478     0.000000        0.016000
479     0.010000        0.003000
480     0.011000        0.014000
481     0.011000        0.014000
482     0.011000        0.014000
483     0.015000        0.015000
484     0.012000        0.010000
485     0.011000        0.014000
486     0.000000        0.016000
487     0.015000        0.000000
488     0.010000        0.014000
489     0.010000        0.014000
490     0.010000        0.014000
491     0.012000        0.017000
492     0.011000        0.017000
493     0.004000        0.016000
494     0.010000        0.014000
495     0.010000        0.003000
496     0.010000        0.000000
497     0.008000        0.016000
498     0.011000        0.016000
499     0.010000        0.020000
500     0.011000        0.005000
501     0.011000        0.002000
502     0.009000        0.000000
503     0.011000        0.014000
504     0.010000        0.001000
505     0.008000        0.017000
506     0.011000        0.017000
507     0.013000        0.016000
508     0.011000        0.014000
509     0.002000        0.016000
510     0.000000        0.016000
511     0.016000        0.018000
512     0.011000        0.016000
513     0.012000        0.015000
514     0.011000        0.006000
515     0.008000        0.016000
516     0.011000        0.015000
517     0.011000        0.002000
518     0.008000        0.016000
519     0.011000        0.015000
520     0.010000        0.015000
521     0.012000        0.015000
522     0.011000        0.002000
523     0.007000        0.016000
524     0.000000        0.016000
525     0.017000        0.015000
526     0.011000        0.010000
527     0.011000        0.005000
528     0.010000        0.015000
529     0.011000        0.008000
530     0.011000        0.014000
531     0.010000        0.012000
532     0.011000        0.004000
533     0.006000        0.015000
534     0.000000        0.015000
535     0.020000        0.014000
536     0.011000        0.022000
537     0.000000        0.016000
538     0.011000        0.016000
539     0.004000        0.015000
540     0.012000        0.001000
541     0.006000        0.015000
542     0.012000        0.015000
543     0.002000        0.016000
544     0.012000        0.015000
545     0.001000        0.015000
546     0.019000        0.015000
547     0.012000        0.016000
548     0.012000        0.016000
549     0.012000        0.014000
550     0.012000        0.016000
551     0.012000        0.018000
552     0.012000        0.020000
553     0.001000        0.016000
554     0.013000        0.001000
555     0.000000        0.028000
556     0.014000        0.017000
557     0.008000        0.024000
558     0.014000        0.018000
559     0.013000        0.022000
560     0.014000        0.017000
561     0.014000        0.019000
562     0.015000        0.020000
563     0.015000        0.023000
564     0.013000        0.018000
565     0.012000        0.019000
566     0.013000        0.020000
567     0.015000        0.019000
568     0.014000        0.019000
569     0.014000        0.018000
570     0.013000        0.019000
571     0.013000        0.020000
572     0.014000        0.019000
573     0.000000        0.030000
574     0.012000        0.014000
575     0.002000        0.015000
576     0.016000        0.016000
577     0.000000        0.031000
578     0.014000        0.019000
579     0.001000        0.015000
580     0.010000        0.015000
581     0.010000        0.016000
582     0.016000        0.016000
583     0.013000        0.016000
584     0.014000        0.020000
585     0.013000        0.018000
586     0.016000        0.015000
587     0.023000        0.018000
588     0.015000        0.019000
589     0.015000        0.016000
590     0.016000        0.016000
591     0.000000        0.036000
592     0.016000        0.016000
593     0.012000        0.015000
594     0.013000        0.020000
595     0.013000        0.020000
596     0.014000        0.018000
597     0.014000        0.023000
598     0.015000        0.017000
599     0.002000        0.016000
600     0.022000        0.023000
601     0.015000        0.020000
602     0.016000        0.016000
603     0.016000        0.031000
604     0.000000        0.016000
605     0.016000        0.015000
606     0.015000        0.016000
607     0.024000        0.020000
608     0.013000        0.018000
609     0.014000        0.017000
610     0.014000        0.018000
611     0.013000        0.017000
612     0.013000        0.018000
613     0.014000        0.018000
614     0.014000        0.019000
615     0.014000        0.021000
616     0.000000        0.031000
617     0.015000        0.007000
618     0.015000        0.016000
619     0.028000        0.021000
620     0.015000        0.007000
621     0.014000        0.007000
622     0.016000        0.012000
623     0.015000        0.016000
624     0.000000        0.037000
625     0.015000        0.016000
626     0.004000        0.016000
627     0.011000        0.015000
628     0.024000        0.020000
629     0.016000        0.022000
630     0.016000        0.015000
631     0.016000        0.026000
632     0.015000        0.016000
633     0.016000        0.026000
634     0.014000        0.006000
635     0.007000        0.016000
636     0.016000        0.015000
637     0.015000        0.031000
638     0.016000        0.031000
639     0.014000        0.023000
640     0.004000        0.031000
641     0.014000        0.019000
642     0.009000        0.015000
643     0.016000        0.015000
644     0.000000        0.031000
645     0.014000        0.018000
646     0.015000        0.031000
647     0.016000        0.031000
648     0.016000        0.031000
649     0.020000        0.021000
650     0.015000        0.016000
651     0.015000        0.027000
652     0.016000        0.015000
653     0.016000        0.016000
654     0.015000        0.016000
655     0.015000        0.020000
656     0.015000        0.016000
657     0.015000        0.016000
658     0.015000        0.015000
659     0.015000        0.016000
660     0.015000        0.016000
661     0.016000        0.020000
662     0.017000        0.024000
663     0.016000        0.021000
664     0.016000        0.013000
665     0.016000        0.016000
666     0.028000        0.027000
667     0.015000        0.026000
668     0.015000        0.016000
669     0.000000        0.031000
670     0.017000        0.008000
671     0.016000        0.031000
672     0.023000        0.021000
673     0.001000        0.034000
674     0.008000        0.016000
675     0.014000        0.026000
676     0.015000        0.019000
677     0.015000        0.018000
678     0.016000        0.015000
679     0.016000        0.033000
680     0.016000        0.031000
681     0.015000        0.010000
682     0.016000        0.015000
683     0.021000        0.026000
684     0.020000        0.019000
685     0.016000        0.018000
686     0.018000        0.025000
687     0.014000        0.020000
688     0.011000        0.015000
689     0.014000        0.023000
690     0.017000        0.024000
691     0.016000        0.015000
692     0.015000        0.018000
693     0.044000        0.029000
694     0.020000        0.020000
695     0.000000        0.036000
696     0.016000        0.023000
697     0.008000        0.027000
698     0.016000        0.021000
699     0.019000        0.023000
700     0.015000        0.022000
701     0.015000        0.021000
702     0.015000        0.022000
703     0.015000        0.021000
704     0.015000        0.022000
705     0.016000        0.021000
